Remainder,Steps,Decision_Tree,Score,Num_Of_Choices_Made
12347101112,5,"['Step1: (6,3,9) (9)', 'Step2: (4,2,6) (6)', 'Step3: (3,5,8) (8)', 'Step4: (2,3,5) (5)']",1,4
12671012,6,"['Step1: (4,3,7) (4,3)', 'Step2: (5) (5)', 'Step3: (9) (9)', 'Step4: (11) (11)', 'Step5: (8) (8)']",2,1
712,9,"['Step1: (4,1,5) (4,1)', 'Step2: (6) (6)', 'Step3: (2,3,5) (2,3)', 'Step4: (8) (8)', 'Step5: (5) (5)', 'Step6: (9) (9)', 'Step7: (11) (11)', 'Step8: (10) (10)']",7,2
369101112,6,"['Step1: (2,5,7) (7)', 'Step2: (3,2,5) (5)', 'Step3: (2) (2)', 'Step4: (8) (8)', 'Step5: (4,1) (4,1)']",1,2
12359101112,5,"['Step1: (2,4,6) (6)', 'Step2: (1,3,4) (4)', 'Step3: (5,3,8) (8)', 'Step4: (7) (7)']",1,3
2346789101112,2,"['Step1: (1,5,6) (1,5)']",1,1
24578101112,4,"['Step1: (3,1,4) (3,1)', 'Step2: (9) (9)', 'Step3: (2,4,6) (6)']",1,2
1234578101112,3,"['Step1: (2,4,6) (6)', 'Step2: (9) (9)']",1,1
12571112,6,"['Step1: (4,6,10) (10)', 'Step2: (6,3,9) (9)', 'Step3: (3,4,7) (3,4)', 'Step4: (8) (8)', 'Step5: (6) (6)']",2,3
178911,7,"['Step1: (3,2,5) (5)', 'Step2: (6) (6)', 'Step3: (12) (12)', 'Step4: (10) (10)', 'Step5: (3,2) (3,2)', 'Step6: (4) (4)']",4,1
13569101112,4,"['Step1: (4,2,6) (4,2)', 'Step2: (3,5,8) (8)', 'Step3: (7) (7)']",1,2
2689101112,5,"['Step1: (1,3,4) (4)', 'Step2: (7) (7)', 'Step3: (1,3) (1,3)', 'Step4: (5) (5)']",1,1
1567891112,4,"['Step1: (3,4,7) (3,4)', 'Step2: (10) (10)', 'Step3: (2) (2)']",1,1
12369101112,4,"['Step1: (4,5,9) (4,5)', 'Step2: (8) (8)', 'Step3: (6,1,7) (7)']",1,2
578911,6,"['Step1: (3,2,5) (3,2)', 'Step2: (10) (10)', 'Step3: (6) (6)', 'Step4: (12) (12)', 'Step5: (1,4,5) (1,4)']",4,2
789101112,4,"['Step1: (3,5,8) (3,5)', 'Step2: (1,2) (1,2)', 'Step3: (6,4,10) (6,4)']",1,2
18101112,6,"['Step1: (3,4,7) (7)', 'Step2: (5,2) (5,2)', 'Step3: (4) (4)', 'Step4: (3,6,9) (9)', 'Step5: (3,6) (3,6)']",2,2
3491012,6,"['Step1: (5,6,11) (11)', 'Step2: (1,2,3) (1,2)', 'Step3: (7) (7)', 'Step4: (5,6) (5,6)', 'Step5: (8) (8)']",3,2
3479101112,4,"['Step1: (5,2,7) (5,2)', 'Step2: (1,6,7) (1,6)', 'Step3: (8) (8)']",1,2
18101112,6,"['Step1: (2,4,6) (2,4)', 'Step2: (3) (3)', 'Step3: (6,5,11) (6,5)', 'Step4: (7) (7)', 'Step5: (9) (9)']",2,2
151011,8,"['Step1: (6) (6)', 'Step2: (4,3,7) (7)', 'Step3: (8) (8)', 'Step4: (2,3,5) (2,3)', 'Step5: (5,4,9) (9)', 'Step6: (4) (4)', 'Step7: (12) (12)']",4,3
124691112,6,"['Step1: (5,3,8) (8)', 'Step2: (2,1,3) (3)', 'Step3: (6,1,7) (7)', 'Step4: (10) (10)', 'Step5: (5) (5)']",1,3
