Remainder,Steps,Decision_Tree,Score,Success
246789101112,3,"['Step1: (3,5,8) (3,5)', 'Step2: (1,2) (1)']",1,FALSE
35781112,6,"['Step1: (1,4,5) (1,4)', 'Step2: (2) (2)', 'Step3: (10) (10)', 'Step4: (6) (6)', 'Step5: (9) (9)']",2,FALSE
13910,8,"['Step1: (4,1,5) (5)', 'Step2: (8) (8)', 'Step3: (11) (11)', 'Step4: (7) (7)', 'Step5: (6,2) (6,2)', 'Step6: (4) (4)', 'Step7: (12) (12)']",5,FALSE
412,9,"['Step1: (1,5,6) (1,5)', 'Step2: (8) (8)', 'Step3: (2,3) (2,3)', 'Step4: (6) (6)', 'Step5: (7) (7)', 'Step6: (11) (11)', 'Step7: (9) (9)', 'Step8: (10) (10)']",7,FALSE
56789101112,4,"['Step1: (2) (2)', 'Step2: (1,3,4) (4)', 'Step3: (1,3) (1,3)']",1,FALSE
2356789101112,2,"['Step1: (1,4,5) (1,4)']",1,FALSE
12891112,5,"['Step1: (5,4,9) (5,4)', 'Step2: (10) (10)', 'Step3: (7) (7)', 'Step4: (3,6,9) (3,6)']",2,FALSE
13479101112,5,"['Step1: (2) (2)', 'Step2: (5) (5)', 'Step3: (6) (6)', 'Step4: (8) (8)']",1,FALSE
39101112,8,"['Step1: (2,4,6) (6)', 'Step2: (1,5) (1)', 'Step3: (5) (5)', 'Step4: (4) (4)', 'Step5: (2) (2)', 'Step6: (8) (8)', 'Step7: (7) (7)']",2,FALSE
17811,7,"['Step1: (12) (12)', 'Step2: (4,5,9) (4,5)', 'Step3: (9) (9)', 'Step4: (3,6) (3,6)', 'Step5: (2) (2)', 'Step6: (10) (10)']",5,FALSE
15101112,7,"['Step1: (6,3,9) (9)', 'Step2: (3,2,5) (3,2)', 'Step3: (4) (4)', 'Step4: (6) (6)', 'Step5: (8) (8)', 'Step6: (7) (7)']",2,FALSE
581011,7,"['Step1: (2,1,3) (2,1)', 'Step2: (12) (12)', 'Step3: (6,3,9) (6,3)', 'Step4: (7) (7)', 'Step5: (4) (4)', 'Step6: (9) (9)']",4,FALSE
6789101112,4,"['Step1: (3,1,4) (4)', 'Step2: (3,1) (3,1)', 'Step3: (5,2,7) (5,2)']",1,FALSE
34567912,5,"['Step1: (10) (10)', 'Step2: (5,6,11) (11)', 'Step3: (1,2,3) (1,2)', 'Step4: (8) (8)']",2,FALSE
378101112,5,"['Step1: (2,3,5) (5)', 'Step2: (1,6,7) (1,6)', 'Step3: (9) (9)', 'Step4: (4,2) (4,2)']",1,FALSE
