Remainder,Steps,Decision_Tree,Score,Num_Of_Choices_Made
3791012,6,"['Step1: [(1, 10),(2, 9),(3, 8),(4, 7),(5, 6),11] 11', 'Step2: [(1, 5),(2, 4),6] (1, 5)', 'Step3: [4] 4', 'Step4: [(2, 8),(3, 7),10] (2, 8)', 'Step5: [6] 6']",3,0
89101112,6,"['Step1: [(1, 3),4] 4', 'Step2: [(1, 7),(2, 6),(3, 5),8] (1, 7)', 'Step3: [(2, 5)]', 'Step4: [3] 3', 'Step5: [6] 6']",2,0
81012,8,"['Step1: [(1, 4),(2, 3),5] (2, 3)', 'Step2: [(1, 7),8] (1, 7)', 'Step3: [4] 4', 'Step4: [9] 9', 'Step5: [(5, 6),11] 11', 'Step6: [6] 6', 'Step7: [5] 5']",5,0
789101112,5,"['Step1: [(1, 2),3] (1, 2)', 'Step2: [5] 5', 'Step3: [4] 4', 'Step4: [(3, 6),9] (3, 6)']",1,0
291112,6,"['Step1: [(1, 7),(2, 6),(3, 5),8] (1, 7)', 'Step2: [(2, 9),(3, 8),(5, 6),11] (5, 6)', 'Step3: [8] 8', 'Step4: [10] 10', 'Step5: [(3, 4)]']",4,0
1256789101112,2,"['Step1: [(1, 6),(2, 5),(3, 4),7] (3, 4)']",1,0
37891012,5,"['Step1: [(1, 5),(2, 4),6] (2, 4)', 'Step2: [(1, 10),(3, 8),(5, 6),11] 11', 'Step3: [(1, 5),6] (1, 5)', 'Step4: [6] 6']",2,0
79101112,5,"['Step1: [(1, 3),4] 4', 'Step2: [(1, 9),(2, 8),(3, 7),10] (2, 8)', 'Step3: [(1, 6),7] (1, 6)', 'Step4: [(3, 5)]']",2,0
239101112,5,"['Step1: [(1, 8),(2, 7),(3, 6),(4, 5),9] (1, 8)', 'Step2: [(2, 9),(4, 7),(5, 6),11] (4, 7)', 'Step3: [(2, 3),5] 5', 'Step4: [6] 6']",1,0
126789101112,3,"['Step1: [(1, 7),(2, 6),(3, 5),8] (3, 5)', 'Step2: [4] 4']",1,0
469101112,5,"['Step1: [(1, 3),4] (1, 3)', 'Step2: [(2, 6),8] 8', 'Step3: [5] 5', 'Step4: [(2, 7),9] (2, 7)']",1,0
4568101112,5,"['Step1: [(1, 2),3] (1, 2)', 'Step2: [3] 3', 'Step3: [7] 7', 'Step4: [(4, 5),9] 9']",1,0
568101112,5,"['Step1: [(1, 4),(2, 3),5] (2, 3)', 'Step2: [(1, 4),5] (1, 4)', 'Step3: [9] 9', 'Step4: [7] 7']",1,0
346789101112,3,"['Step1: [(1, 5),(2, 4),6] (1, 5)', 'Step2: [2] 2']",1,0
61112,7,"['Step1: [(1, 9),(2, 8),(3, 7),(4, 6),10] 10', 'Step2: [(1, 6),(2, 5),(3, 4),7] (3, 4)', 'Step3: [(1, 9),(2, 8)] (1, 9)', 'Step4: [(2, 5),7] (2, 5)', 'Step5: [8] 8', 'Step6: [7] 7']",5,0
381011,6,"['Step1: [(1, 9),(2, 8),(3, 7),(4, 6),10] (1, 9)', 'Step2: [(3, 8),(4, 7),(5, 6),11] (4, 7)', 'Step3: [(2, 3),5] 5', 'Step4: [(2, 6),8] (2, 6)', 'Step5: [12] 12']",4,0
5689101112,4,"['Step1: [(1, 4),(2, 3),5] (1, 4)', 'Step2: [(2, 3),5] (2, 3)', 'Step3: [7] 7']",1,0
78101112,5,"['Step1: [(1, 5),(2, 4),6] (1, 5)', 'Step2: [(2, 9),(3, 8),(4, 7),11] (2, 9)', 'Step3: [(3, 6)]', 'Step4: [4] 4']",2,0
91112,8,"['Step1: [(1, 9),(2, 8),(3, 7),(4, 6),10] 10', 'Step2: [(1, 4),(2, 3),5] (2, 3)', 'Step3: [(1, 7),8] (1, 7)', 'Step4: [6] 6', 'Step5: [4] 4', 'Step6: [5] 5', 'Step7: [8] 8']",5,0
61112,7,"['Step1: [(1, 10),(2, 9),(3, 8),(4, 7),(5, 6),11] (1, 10)', 'Step2: [(2, 5),(3, 4),7] (2, 5)', 'Step3: [(3, 4),7] 7', 'Step4: [(3, 4)]', 'Step5: [8] 8', 'Step6: [9] 9']",5,0
35679101112,3,"['Step1: [(1, 5),(2, 4),6] (2, 4)', 'Step2: [(1, 8),(3, 6),9] (1, 8)']",1,0
289101112,5,"['Step1: [(1, 5),(2, 4),6] 6', 'Step2: [(1, 3),4] (1, 3)', 'Step3: [(2, 5),7] 7', 'Step4: [(4, 5),9] (4, 5)']",1,0
45671112,5,"['Step1: [(1, 7),(2, 6),(3, 5),8] 8', 'Step2: [(1, 11),(2, 10),(3, 9),(5, 7),12] (2, 10)', 'Step3: [3] 3', 'Step4: [(1, 9),(4, 6)] (1, 9)']",2,0
89101112,5,"['Step1: [(1, 6),(2, 5),(3, 4),7] (2, 5)', 'Step2: [(1, 4)]', 'Step3: [7] 7', 'Step4: [(3, 6),9] (3, 6)']",2,0
156101112,6,"['Step1: [(1, 8),(2, 7),(3, 6),(4, 5),9] 9', 'Step2: [(1, 8),(2, 7),(3, 6),(4, 5)] (2, 7)', 'Step3: [3] 3', 'Step4: [8] 8', 'Step5: [4] 4']",1,0
467101112,5,"['Step1: [(1, 6),(2, 5),(3, 4),7] (2, 5)', 'Step2: [3] 3', 'Step3: [(1, 8),9] 9', 'Step4: [(1, 8)]']",1,0
3591112,6,"['Step1: [(1, 5),(2, 4),6] (2, 4)', 'Step2: [(1, 9),(3, 7),10] 10', 'Step3: [(1, 8),(3, 6),9] (1, 8)', 'Step4: [7] 7', 'Step5: [6] 6']",3,0
678101112,4,"['Step1: [(1, 9),(2, 8),(3, 7),(4, 6),10] (1, 9)', 'Step2: [(2, 5),(3, 4),7] (3, 4)', 'Step3: [(2, 5),7] (2, 5)']",1,0
