Remainder,Steps,Decision_Tree,Score,Success
12345789101112,2,"['Step1: (2,4,6) (6)']",1,FALSE
2379101112,5,"['Step1: (6,2,8) (8)', 'Step2: (6,2) (6)', 'Step3: (5,4,9) (5,4)', 'Step4: (1,3) (1)']",1,FALSE
1251011,8,"['Step1: (5,1,6) (6)', 'Step2: (12) (12)', 'Step3: (8) (8)', 'Step4: (3,5) (3)', 'Step5: (5,2,7) (7)', 'Step6: (4) (4)', 'Step7: (9) (9)']",3,FALSE
121112,8,"['Step1: (10) (10)', 'Step2: (3,4,7) (3,4)', 'Step3: (5) (5)', 'Step4: (1,6,7) (7)', 'Step5: (9) (9)', 'Step6: (6) (6)', 'Step7: (8) (8)']",4,FALSE
71012,8,"['Step1: (1,5,6) (1,5)', 'Step2: (8) (8)', 'Step3: (2) (2)', 'Step4: (3,6,9) (3,6)', 'Step5: (4) (4)', 'Step6: (9) (9)', 'Step7: (11) (11)']",5,FALSE
1359101112,5,"['Step1: (1,6,7) (7)', 'Step2: (2,6,8) (2,6)', 'Step3: (8) (8)', 'Step4: (1,3,4) (4)']",1,FALSE
145791011,5,"['Step1: (6,2,8) (6,2)', 'Step2: (8) (8)', 'Step3: (3) (3)', 'Step4: (12) (12)']",1,FALSE
1471112,8,"['Step1: (10) (10)', 'Step2: (2) (2)', 'Step3: (6) (6)', 'Step4: (8) (8)', 'Step5: (3,5) (3)', 'Step6: (5,4,9) (9)', 'Step7: (5,4) (5)']",3,FALSE
5789101112,5,"['Step1: (4,2,6) (6)', 'Step2: (2,1,3) (3)', 'Step3: (4) (4)', 'Step4: (2,1) (2,1)']",1,FALSE
23578911,5,"['Step1: (6,4,10) (6,4)', 'Step2: (10) (10)', 'Step3: (12) (12)', 'Step4: (1,5) (1)']",2,FALSE
3711,8,"['Step1: (10) (10)', 'Step2: (6,2,8) (8)', 'Step3: (2,1,3) (2,1)', 'Step4: (6,5,11) (6,5)', 'Step5: (9) (9)', 'Step6: (12) (12)', 'Step7: (4) (4)']",6,FALSE
12357891011,3,"['Step1: (12) (12)', 'Step2: (4,6,10) (4,6)']",1,FALSE
246789101112,3,"['Step1: (3,5,8) (3,5)', 'Step2: (1,2) (1)']",1,FALSE
46891011,6,"['Step1: (12) (12)', 'Step2: (4,1,5) (5)', 'Step3: (3,2) (3,2)', 'Step4: (1,4) (1)', 'Step5: (7) (7)']",2,FALSE
12571112,6,"['Step1: (1,5,6) (6)', 'Step2: (9) (9)', 'Step3: (10) (10)', 'Step4: (4,3,7) (4,3)', 'Step5: (8) (8)']",2,FALSE
1236789101112,2,"['Step1: (4,5,9) (4,5)']",1,FALSE
24678910,5,"['Step1: (5,1,6) (5,1)', 'Step2: (3) (3)', 'Step3: (12) (12)', 'Step4: (11) (11)']",2,FALSE
16891011,6,"['Step1: (12) (12)', 'Step2: (5,2,7) (7)', 'Step3: (2,5) (2,5)', 'Step4: (3,4) (3)', 'Step5: (4) (4)']",2,FALSE
1234691012,5,"['Step1: (2,6,8) (8)', 'Step2: (2,3,5) (5)', 'Step3: (11) (11)', 'Step4: (1,6,7) (7)']",1,FALSE
134679101112,4,"['Step1: (3,2,5) (5)', 'Step2: (2,6,8) (8)', 'Step3: (2) (2)']",1,FALSE
1346791012,4,"['Step1: (2,5,7) (2,5)', 'Step2: (8) (8)', 'Step3: (11) (11)']",1,FALSE
1581112,7,"['Step1: (2,3,5) (2,3)', 'Step2: (1,5,6) (6)', 'Step3: (10) (10)', 'Step4: (4) (4)', 'Step5: (7) (7)', 'Step6: (9) (9)']",3,FALSE
48101112,7,"['Step1: (2,1,3) (2,1)', 'Step2: (7) (7)', 'Step3: (5) (5)', 'Step4: (3,6,9) (9)', 'Step5: (6) (6)', 'Step6: (3) (3)']",2,FALSE
4569101112,5,"['Step1: (1,3,4) (1,3)', 'Step2: (8) (8)', 'Step3: (2,6) (2)', 'Step4: (7) (7)']",1,FALSE
